angDist,angDist,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,Cl,Vmag,V-I,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],AKs,Note,M07,2M,Simbad,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.192377,0.219752,343.6425,62.59875,22 54 34.20,+62 35 55.5,III,15.07,1.74,12.1,11.55,11.39,11.25,11.2,11.19,11.16,,,X-ray,1,2M,Simbad,22543423+6235555,343.642628,62.598766,0.06,0.06,90,12.098,11.552,11.391,0.024,0.023,0.02,AAA,222,0,2450750.5824,343.6426126793294,62.5987370986573,0.001,0.001,90,2207266642123689984,343.64260020744,0.0212,62.59872663707,0.0225,1.2148,0.0243,-1.333,0.045,-2.430,0.040,0,3.17383e+04,3.70094e+01,14.434406,9.97474e+03,5.17360e+01,15.354135,3.26818e+04,1.45093e+02,13.476156,1.877978,,,0,3842.00,2.2210,1.1223,2.83,1.574
0.276666,0.324464,343.6440833,62.7778056,22 54 34.58,+62 46 40.1,III,17.58,2.35,13.81,13.16,12.9,12.74,12.72,12.64,12.69,,,,1,2M,Simbad,22543459+6246404,343.644158,62.777889,0.06,0.06,90,13.809,13.159,12.903,0.028,0.023,0.027,AAA,222,0,2450750.5826,343.6441525545274,62.7778756181715,0.002,0.001,90,2207283272236886144,343.64407756227,0.0419,62.77780218837,0.0438,4.3555,0.0501,-7.968,0.097,-17.055,0.086,0,4.87833e+03,3.31670e+00,16.467688,1.06635e+03,9.42052e+00,17.781633,5.92782e+03,1.22987e+01,15.329681,2.451952,,,0,4041.99,0.1665,0.1295,,
0.821448,0.93153,343.64425,62.7130833,22 54 34.62,+62 42 47.1,III,15.94,2.19,12.01,11.2,10.94,10.76,10.82,10.74,10.69,,0.02,,1,2M,Simbad,22543463+6242480,343.644301,62.713341,0.06,0.06,90,12.008,11.202,10.937,0.022,0.02,0.018,AAA,222,0,2450750.5825,343.6442861193409,62.7133108783355,0.001,0.001,90,2207271074529832192,343.64426470229,0.0324,62.71329673337,0.0345,0.4096,0.0384,-2.280,0.067,-3.285,0.067,0,1.94231e+04,7.29074e+00,14.967570,4.63601e+03,1.68538e+01,16.186028,2.28897e+04,3.86314e+01,13.862820,2.323208,,,0,3761.00,2.1437,1.0658,7.05,8.955
0.163469,0.34541,343.6445833,62.5963611,22 54 34.70,+62 35 46.9,III,20.21,3.12,14.95,14.09,13.73,13.43,13.35,13.24,13.31,,0.02,,1,2M,Simbad,22543472+6235471,343.644705,62.596439,0.06,0.06,90,14.953,14.089,13.733,0.05,0.051,0.051,AAA,222,0,2450750.5824,343.6446621700607,62.5963883794830,0.005,0.004,90,2207266637824167424,343.64465693361,0.1525,62.59637746409,0.1437,1.4960,0.1788,-0.560,0.331,-2.535,0.288,0,6.70555e+02,2.50038e+00,18.622278,1.11571e+02,7.76238e+00,20.232513,1.07160e+03,1.82217e+01,17.186844,3.045670,,,0,,,,,
0.194310,0.136598,343.6447917,62.5039722,22 54 34.75,+62 30 14.3,III,18.78,2.66,14.11,13.21,12.9,12.67,12.65,12.56,12.49,,0.04,,1,2M,Simbad,22543476+6230142,343.644855,62.503948,0.06,0.06,90,14.106,13.207,12.905,0.033,0.032,0.033,AAA,222,0,2450750.5824,343.6448670760586,62.5039309417913,0.002,0.002,90,2207259289139754368,343.64489513209,0.0789,62.50393543650,0.0806,0.6600,0.0937,3.008,0.161,1.044,0.155,0,1.97380e+03,1.94595e+00,17.450108,3.72565e+02,8.53962e+00,18.923382,2.62921e+03,9.51502e+00,16.212355,2.711027,,,0,,,,,
0.265313,0.16151,343.6460417,62.3965278,22 54 35.05,+62 23 47.5,III,19.61,3.25,14.2,13.29,12.95,12.65,12.58,12.36,11.81,,0.03,,1,2M,Simbad,22543506+6223473,343.64611,62.396496,0.06,0.06,0,14.197,13.291,12.947,0.032,0.029,0.026,AAA,222,0,2450750.5823,343.6461697200843,62.3964840648500,0.015,0.012,90,2207210871968594688,343.64612285197,0.4635,62.39648972107,0.4303,2.2752,0.5505,-5.044,0.981,1.314,0.801,0,1.24244e+03,7.48196e+00,17.952680,2.08630e+02,1.11263e+01,19.552944,2.07062e+03,2.60819e+01,16.471668,3.081276,,,0,,,,,
0.198579,0.163148,343.64875,62.5647222,22 54 35.70,+62 33 53.0,III,22.22,4.12,15.78,14.76,14.26,13.97,13.89,13.99,13.93,,0.04,,1,2M,Simbad,22543572+6233529,343.648841,62.564705,0.07,0.06,86,15.78,14.758,14.257,0.077,0.07,0.074,AAA,222,0,2450750.5824,343.6488388543395,62.5646852312245,0.013,0.010,90,2207260487433622656,343.64883146037,0.3341,62.56467278709,0.3042,1.3772,0.3715,-0.791,0.823,-2.890,0.629,0,2.49909e+02,1.14154e+00,19.693910,4.47775e+01,6.05767e+00,21.223738,4.53019e+02,9.70007e+00,18.121628,3.102110,,,0,,,,,
0.118468,0.110537,343.650625,62.4554722,22 54 36.15,+62 27 19.7,III,19.43,3.49,13.19,11.99,11.55,11.25,11.24,11.14,11.19,,0.07,,1,2M,Simbad,22543614+6227197,343.650589,62.455498,0.06,0.06,90,13.195,11.993,11.548,0.022,0.022,0.02,AAA,222,0,2450750.5823,343.6505789159895,62.4554972751024,0.003,0.003,90,2207212078859269504,343.65055826448,0.1005,62.45549525515,0.0960,0.2957,0.1095,-2.218,0.202,-0.469,0.180,0,2.06722e+03,2.18095e+00,17.399900,2.32694e+02,1.01286e+01,19.434427,3.24005e+03,1.55686e+01,15.985541,3.448886,,,0,,,,,
0.154041,0.186674,343.6506667,62.4197778,22 54 36.16,+62 25 11.2,III,21.15,3.61,14.67,13.48,13.08,12.73,12.66,12.67,12.64,,0.07,,1,2M,Simbad,22543617+6225110,343.650741,62.419739,0.06,0.06,0,14.667,13.483,13.078,0.039,0.033,0.032,AAA,222,0,2450750.5823,343.6507286370599,62.4197460418069,0.009,0.007,90,2207211078127032320,343.65070897489,0.2378,62.41973700905,0.2243,0.3165,0.2853,-2.114,0.556,-2.098,0.443,0,4.57481e+02,1.24652e+00,19.037434,7.25093e+01,1.07296e+01,20.700403,7.61377e+02,8.05093e+00,17.557920,3.142483,,,0,,,,,
0.280734,0.179255,343.6509583,62.6927222,22 54 36.23,+62 41 33.8,III,16.12,2.16,12.24,11.46,11.19,11.03,11.03,10.96,10.92,,0.02,,1,2M,Simbad,22543623+6241336,343.650975,62.692673,0.06,0.06,90,12.244,11.458,11.186,0.025,0.022,0.021,AAA,222,0,2450750.5825,343.6509539278915,62.6926442442387,0.009,0.009,90,2207270799651948672,343.65091778803,0.2847,62.69264648769,0.3074,-0.3274,0.3487,-3.851,0.606,0.521,0.571,0,1.58738e+04,1.47618e+01,15.186665,3.92738e+03,1.18184e+01,16.366129,1.89085e+04,2.93197e+01,14.070280,2.295849,,,0,3489.00,,,,
0.239473,0.241361,343.6515,62.5108611,22 54 36.36,+62 30 39.1,III,20.11,3.24,14.64,13.52,13.18,12.96,12.88,12.9,13.01,,0.06,X-ray,1,2M,Simbad,22543639+6230390,343.651641,62.510845,0.06,0.06,90,14.64,13.52,13.178,0.036,0.029,0.031,AAA,222,0,2450750.5824,343.6516265922467,62.5108293100995,0.004,0.004,90,2207259353559552000,343.65162163823,0.1266,62.51081777925,0.1273,1.3518,0.1497,-0.531,0.267,-2.678,0.263,0,9.28801e+02,2.10415e+00,18.268559,1.28165e+02,9.06818e+00,20.081966,1.37574e+03,1.07301e+01,16.915579,3.166388,,,0,,,,,
0.045246,0.041313,343.6519583,62.6906667,22 54 36.47,+62 41 26.4,III,21.58,3.78,15.43,14.67,14.16,13.84,13.71,13.6,13.01,,,,1,2M,Simbad,22543646+6241264,343.651939,62.690674,0.06,0.06,90,15.425,14.666,14.164,0.067,0.069,0.076,AAA,222,0,2450750.5825,343.6519390090489,62.6906577765052,0.009,0.007,90,2207270795352688256,343.65192954982,0.2278,62.69064607440,0.2219,1.2760,0.2586,-1.008,0.557,-2.718,0.481,0,3.22426e+02,1.01207e+00,19.417292,6.45274e+01,8.91230e+00,20.827028,5.49553e+02,9.09849e+00,17.911896,2.915133,,,0,,,,,
0.153548,0.176848,343.6520417,62.5483056,22 54 36.49,+62 32 53.9,III,20.11,3.41,14.58,13.59,13.32,12.99,12.92,12.85,12.9,,0.05,X-ray,1,2M,Simbad,22543648+6232540,343.652001,62.548351,0.06,0.06,90,14.581,13.589,13.319,0.033,0.034,0.032,AAA,222,0,2450750.5824,343.6519931819728,62.5483419171219,0.004,0.004,90,2207259662797212160,343.65198748731,0.1290,62.54833225038,0.1271,1.0230,0.1521,-0.610,0.273,-2.245,0.243,0,8.81094e+02,4.44728e+00,18.325810,1.31812e+02,1.19167e+01,20.051500,1.35226e+03,2.35248e+01,16.934270,3.117230,,,0,,,,,
0.343660,0.397376,343.6549167,62.4348611,22 54 37.18,+62 26 05.5,III,16.05,1.87,13.1,12.4,12.24,12.15,12.18,12.08,12.09,,0.01,,1,2M,Simbad,22543713+6226052,343.654746,62.434784,0.06,0.06,90,13.105,12.397,12.236,0.024,0.023,0.023,AAA,222,0,2450750.5823,343.6547735782986,62.4347923516607,0.001,0.001,0,2207211151147150848,343.65499988612,0.0275,62.43487561987,0.0342,3.5031,0.0326,24.323,0.053,19.340,0.057,0,1.37350e+04,6.27862e+00,15.343797,4.18251e+03,1.07194e+01,16.297796,1.42048e+04,2.16101e+01,14.380829,1.916967,,,0,3890.00,0.0950,0.0502,0.62,0.079
0.031764,0.068732,343.656125,62.4293611,22 54 37.47,+62 25 45.7,III,15.57,1.8,12.27,11.79,11.53,11.36,11.3,11.26,11.29,,,,1,2M,Simbad,22543747+6225456,343.656166,62.429359,0.06,0.06,90,12.265,11.791,11.531,0.03,0.031,0.03,AAA,222,0,2450750.5823,343.6561358426882,62.4293538429792,0.001,0.001,0,2207211151146348800,343.65608374687,0.0243,62.42934475075,0.0288,1.0648,0.0298,-5.600,0.049,-2.112,0.049,0,2.06316e+04,8.00057e+00,14.902035,6.13421e+03,2.39787e+01,15.881992,2.23797e+04,7.21247e+01,13.887284,1.994708,,,0,3799.50,,,2.70,1.371
0.046907,0.12858,343.6590833,62.8297222,22 54 38.18,+62 49 47.0,III,19.72,3.3,14.1,13.13,12.79,12.58,12.51,12.44,12.47,,0.04,,1,2M,Simbad,22543816+6249469,343.659016,62.829704,0.06,0.06,90,14.101,13.13,12.793,0.029,0.026,0.026,AAA,222,0,2450750.5826,343.6590571058490,62.8297170326168,0.003,0.003,90,2207284779766750848,343.65903839613,0.0876,62.82970520518,0.0873,1.2211,0.1035,-1.984,0.187,-2.747,0.167,0,1.43071e+03,2.09772e+00,17.799490,1.77549e+02,8.44220e+00,19.728090,2.16864e+03,1.15477e+01,16.421452,3.306639,,,0,,,,,
