angDist,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,Cl,Vmag,V-I,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],AKs,Note,M07,2M,Simbad,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
0.091001,344.0646667,62.5204722,22 56 15.52,+62 31 13.7,III,21.95,4.21,15.24,14.13,13.87,13.39,13.28,13.35,12.95,,0.06,,1,2M,Simbad,22561552+6231136,344.064671,+62.520447,0.060,0.060,90,15.240,14.133,13.868,0.053,0.044,0.054,AAA,222,0,2450750.5920
0.114207,344.0655,62.7141944,22 56 15.72,+62 42 51.1,III,13.42,1.57,10.71,10.18,9.98,9.87,9.83,9.78,9.71,,,X-ray,1,2M,Simbad,22561571+6242509,344.065474,+62.714165,0.060,0.060,135,10.706,10.180,9.980,0.024,0.025,0.026,AAA,222,0,2450750.5922
0.206254,344.0658333,62.6636667,22 56 15.80,+62 39 49.2,III,20.15,3.38,14.76,13.79,13.49,13.18,13.12,12.96,12.61,,0.04,,1,2M,Simbad,22561582+6239493,344.065928,+62.663704,0.060,0.060,135,14.757,13.789,13.486,0.059,0.060,0.060,AAA,222,0,2450750.5921
0.146805,344.0658333,62.6206111,22 56 15.80,+62 37 14.2,III,20.34,3.62,14.53,13.65,13.29,13.02,12.92,13.0,12.93,,0.03,X-ray,1,2M,Simbad,22561581+6237142,344.065914,+62.620628,0.060,0.060,90,14.534,13.655,13.294,0.036,0.033,0.039,AAA,222,0,2450750.5921
0.132600,344.0676667,62.7383056,22 56 16.24,+62 44 17.9,III,22.42,4.34,15.57,14.59,14.16,13.75,13.61,13.56,13.57,,0.04,,1,2M,Simbad,22561624+6244180,344.067679,+62.738342,0.060,0.060,45,15.569,14.594,14.158,0.069,0.072,0.070,AAA,222,0,2450750.5922
0.014400,344.0684167,62.6640278,22 56 16.42,+62 39 50.5,III,20.12,3.24,14.82,13.87,13.56,13.26,13.27,13.24,13.28,,0.04,X-ray,1,2M,Simbad,22561641+6239505,344.068408,+62.664028,0.060,0.060,135,14.816,13.870,13.564,0.046,0.050,0.053,AAA,222,0,2450750.5921
0.366710,344.0689167,62.7419167,22 56 16.54,+62 44 30.9,III,19.17,2.79,14.89,14.15,13.95,13.69,13.64,13.63,13.51,,0.02,,1,2M,Simbad,22561649+6244311,344.068746,+62.741982,0.060,0.060,90,14.890,14.153,13.946,0.041,0.044,0.062,AAA,222,0,2450750.5922
0.292454,344.0690417,62.5548056,22 56 16.57,+62 33 17.3,III,20.11,3.09,14.68,13.67,13.19,12.96,12.97,12.95,13.33,,0.04,,1,2M,Simbad,22561661+6233172,344.069211,+62.554783,0.060,0.060,90,14.675,13.666,13.191,0.041,0.034,0.034,AAA,222,0,2450750.5920
0.151892,344.0695,62.4469167,22 56 16.68,+62 26 48.9,III,16.75,2.28,12.76,12.17,11.87,11.68,11.62,11.54,11.53,,,,1,2M,Simbad,22561666+6226487,344.069455,+62.446880,0.060,0.060,0,12.758,12.174,11.874,0.023,0.021,0.022,AAA,222,0,2450750.5920
0.237577,344.0695833,62.4891389,22 56 16.70,+62 29 20.9,III,21.21,3.91,15.01,14.15,13.58,13.32,13.23,13.14,12.7,,,,1,2M,Simbad,22561670+6229206,344.069619,+62.489075,0.060,0.060,90,15.007,14.151,13.581,0.060,0.048,0.063,AAA,222,0,2450750.5920
0.165755,344.0699583,62.6651111,22 56 16.79,+62 39 54.4,III,22.44,4.39,15.5,14.62,14.2,13.79,13.59,13.76,,,0.02,,1,2M,Simbad,22561677+6239542,344.069902,+62.665073,0.060,0.060,45,15.501,14.624,14.203,0.072,0.075,0.075,AAA,222,0,2450750.5921
0.173379,344.0707083,62.4876667,22 56 16.97,+62 29 15.6,III,21.51,3.82,15.29,14.13,13.89,13.51,13.43,13.47,13.36,,0.07,,1,2M,Simbad,22561697+6229157,344.070737,+62.487713,0.060,0.060,90,15.289,14.132,13.887,0.055,0.051,0.053,AAA,222,0,2450750.5920
0.140743,344.0708333,62.7115556,22 56 17.00,+62 42 41.6,III,17.93,2.4,13.88,,,12.49,12.47,12.38,12.39,,,X-ray,1,2M,Simbad,22561700+6242414,344.070873,+62.711521,0.110,0.110,90,13.883,13.001,12.709,0.040,,,AUU,266,0,2450750.5922
0.206003,344.0714583,62.687,22 56 17.15,+62 41 13.2,III,21.64,3.89,15.52,14.67,14.45,13.93,13.85,13.9,13.8,,0.03,,1,2M,Simbad,22561717+6241130,344.071543,+62.686958,0.070,0.070,135,15.516,14.666,14.452,0.071,0.074,0.093,AAA,222,0,2450750.5921
0.052162,344.0720417,62.6068056,22 56 17.29,+62 36 24.5,III,19.13,2.86,13.96,12.87,12.5,12.28,12.3,12.29,12.39,,0.06,,1,2M,Simbad,22561729+6236244,344.072073,+62.606804,0.060,0.060,90,13.961,12.872,12.503,0.031,0.028,0.030,AAA,222,0,2450750.5921
0.154847,344.0727083,62.55075,22 56 17.45,+62 33 02.7,III,20.3,3.2,14.7,13.53,13.26,12.93,12.91,12.93,12.99,,0.07,,1,2M,Simbad,22561744+6233028,344.072706,+62.550793,0.060,0.060,90,14.699,13.532,13.264,0.035,0.027,0.034,AAA,222,0,2450750.5920
0.059240,344.0735,62.6118056,22 56 17.64,+62 36 42.5,III,18.71,2.64,14.06,13.05,12.81,12.53,12.54,12.5,12.48,,0.05,,1,2M,Simbad,22561764+6236425,344.073535,+62.611809,0.060,0.060,90,14.059,13.052,12.810,0.029,0.027,0.028,AAA,222,0,2450750.5921
0.162430,344.0738333,62.3871944,22 56 17.72,+62 23 13.9,III,20.41,3.41,14.36,13.19,12.8,12.45,12.42,12.34,12.22,,0.07,,1,2M,Simbad,22561774+6223138,344.073919,+62.387173,0.060,0.060,0,14.361,13.191,12.795,0.029,0.023,0.027,AAA,222,0,2450750.5919
0.106048,344.074125,62.7563611,22 56 17.79,+62 45 22.9,III,20.89,3.88,14.8,13.82,13.48,13.23,13.09,13.03,13.12,,0.04,,1,2M,Simbad,22561779+6245227,344.074135,+62.756332,0.060,0.060,90,14.795,13.821,13.484,0.039,0.036,0.044,AAA,222,0,2450750.5922
0.122684,344.074375,62.7186667,22 56 17.85,+62 43 07.2,III,21.69,3.8,15.67,14.77,14.44,13.94,13.88,13.86,13.74,,0.03,,1,2M,Simbad,22561786+6243072,344.074449,+62.718670,0.070,0.070,90,15.668,14.765,14.437,0.072,0.076,0.092,AAA,222,0,2450750.5922
0.244095,344.0761667,62.7545556,22 56 18.28,+62 45 16.4,III,18.23,2.92,13.34,12.34,12.05,11.83,11.79,11.75,11.68,,0.05,X-ray,1,2M,Simbad,22561829+6245166,344.076234,+62.754616,0.060,0.060,90,13.336,12.342,12.051,0.024,0.022,0.022,AAA,222,0,2450750.5922
0.187238,344.076875,62.7870278,22 56 18.45,+62 47 13.3,III,15.55,2.22,11.5,10.59,10.3,10.16,10.2,10.12,10.06,,0.04,,1,2M,Simbad,22561844+6247134,344.076855,+62.787079,0.060,0.060,90,11.502,10.586,10.299,0.021,0.021,0.019,AAA,222,0,2450750.5922
0.178604,344.077,62.5167222,22 56 18.48,+62 31 00.2,III,21.61,3.65,15.63,14.59,14.28,13.95,13.91,14.21,14.19,,0.05,,1,2M,Simbad,22561850+6231002,344.077107,+62.516727,0.060,0.060,45,15.628,14.587,14.276,0.070,0.062,0.073,AAA,222,0,2450750.5920
0.100570,344.0779167,62.5328611,22 56 18.70,+62 31 58.3,III,16.97,2.68,12.25,11.32,11.01,10.82,10.87,10.8,10.72,,0.04,,1,2M,Simbad,22561869+6231583,344.077894,+62.532887,0.060,0.060,90,12.252,11.325,11.013,0.020,0.021,0.019,AAA,222,0,2450750.5920
0.144606,344.0789583,62.642,22 56 18.95,+62 38 31.2,III,20.18,3.35,14.77,13.83,13.55,13.24,13.15,13.13,13.41,,0.04,X-ray,1,2M,Simbad,22561892+6238311,344.078871,+62.641998,0.060,0.060,45,14.772,13.833,13.547,0.049,0.047,0.049,AAA,222,0,2450750.5921
0.135501,344.0798333,62.6392778,22 56 19.16,+62 38 21.4,III,21.02,3.77,14.98,14.12,13.78,13.5,13.38,13.31,12.64,,0.03,,1,2M,Simbad,22561914+6238213,344.079758,+62.639263,0.060,0.060,90,14.977,14.118,13.780,0.049,0.045,0.048,AAA,222,0,2450750.5921
0.207184,344.0800833,62.7146389,22 56 19.22,+62 42 52.7,III,17.69,2.24,13.9,13.02,12.8,12.53,12.53,12.45,12.52,,0.03,X-ray,1,2M,Simbad,22561924+6242528,344.080186,+62.714672,0.060,0.060,90,13.900,13.018,12.803,0.028,0.028,0.031,AAA,222,0,2450750.5922
0.107061,344.0803333,62.4783333,22 56 19.28,+62 28 42.0,III,19.71,3.14,14.29,13.22,12.87,12.61,12.62,12.41,12.18,,0.05,,1,2M,Simbad,22561927+6228421,344.080330,+62.478363,0.060,0.060,90,14.287,13.222,12.872,0.029,0.028,0.028,AAA,222,0,2450750.5920
0.091567,344.0805833,62.6438889,22 56 19.34,+62 38 38.0,III,21.87,4.01,15.47,14.66,14.46,13.91,13.8,13.83,14.14,,0.02,X-ray,1,2M,Simbad,22561932+6238380,344.080528,+62.643890,0.070,0.070,135,15.469,14.659,14.460,0.077,0.078,0.090,AAA,222,0,2450750.5921
0.101577,344.0807083,62.4484722,22 56 19.37,+62 26 54.5,III,20.01,3.12,14.61,13.64,13.33,13.07,12.99,12.88,12.49,,0.04,,1,2M,Simbad,22561938+6226545,344.080769,+62.448475,0.060,0.060,0,14.607,13.638,13.334,0.035,0.034,0.035,AAA,222,0,2450750.5920
0.092592,344.0807917,62.629,22 56 19.39,+62 37 44.4,III,20.89,3.95,14.49,13.5,13.17,12.84,12.72,12.65,12.51,,0.05,X-ray,1,2M,Simbad,22561939+6237443,344.080824,+62.628979,0.060,0.060,90,14.490,13.504,13.170,0.031,0.031,0.035,AAA,222,0,2450750.5921
0.098020,344.0809583,62.4693611,22 56 19.43,+62 28 09.7,III,16.06,2.46,11.87,11.26,10.95,10.81,10.75,10.71,10.73,,,,1,2M,Simbad,22561943+6228096,344.080964,+62.469334,0.060,0.060,90,11.873,11.261,10.955,0.021,0.019,0.019,AAA,222,0,2450750.5920
0.098144,344.0810833,62.7272778,22 56 19.46,+62 43 38.2,III,20.09,3.67,14.19,13.29,12.94,12.56,12.49,12.42,12.29,,0.03,X-ray,1,2M,Simbad,22561946+6243382,344.081106,+62.727303,0.060,0.060,135,14.192,13.293,12.940,0.041,0.034,0.041,AAA,222,0,2450750.5922
0.237824,344.0830833,62.7217778,22 56 19.94,+62 43 18.4,III,21.85,4.24,15.15,14.3,13.99,13.49,13.4,13.35,13.2,,0.03,,1,2M,Simbad,22561996+6243185,344.083177,+62.721828,0.060,0.060,90,15.152,14.295,13.991,0.058,0.059,0.066,AAA,222,0,2450750.5922
0.210191,344.083375,62.8262222,22 56 20.01,+62 49 34.4,III,17.79,2.45,13.28,12.39,12.1,11.93,11.89,11.82,11.75,,0.03,,1,2M,Simbad,22562003+6249342,344.083477,+62.826187,0.060,0.060,90,13.281,12.393,12.096,0.030,0.026,0.027,AAA,222,0,2450750.5922
0.245369,344.0835,62.7168056,22 56 20.04,+62 43 00.5,III,21.8,4.0,15.45,14.77,14.18,14.01,13.84,13.88,13.6,,,,1,2M,Simbad,22562001+6243003,344.083411,+62.716751,0.070,0.070,90,15.453,14.769,14.179,0.073,0.086,0.074,AAA,222,0,2450750.5922
0.742708,344.0835833,62.8728056,22 56 20.06,+62 52 22.1,III,16.74,2.32,12.57,11.68,11.38,11.21,11.2,11.08,11.07,,0.03,X-ray,1,2M,Simbad,22562007+6252228,344.083659,+62.873009,0.060,0.060,90,12.567,11.678,11.376,0.023,0.022,0.019,AAA,222,0,2450750.5923
0.295606,344.0840833,62.7269167,22 56 20.18,+62 43 36.9,III,22.39,4.36,15.25,14.48,14.16,13.61,13.45,13.35,13.1,,0.01,,1,2M,Simbad,22562013+6243368,344.083907,+62.726902,0.060,0.060,90,15.253,14.477,14.161,0.058,0.060,0.070,AAA,222,0,2450750.5922
0.092641,344.0855833,62.6607222,22 56 20.54,+62 39 38.6,III,19.11,3.26,,,11.62,11.35,11.38,11.21,11.22,,,,1,2M,Simbad,22562055+6239386,344.085639,+62.660725,0.110,0.110,135,13.256,12.079,11.620,,,0.023,UUA,662,0,2450750.5921
0.262800,344.0859167,62.71225,22 56 20.62,+62 42 44.1,III,20.15,3.18,14.85,13.98,13.7,13.36,13.24,13.18,13.08,,0.03,,1,2M,Simbad,22562062+6242438,344.085917,+62.712177,0.060,0.060,135,14.852,13.980,13.702,0.043,0.061,0.066,AAA,222,0,2450750.5922
0.168044,344.0860833,62.7540833,22 56 20.66,+62 45 14.7,III,19.24,3.14,14.1,13.1,12.82,12.57,12.59,12.45,12.58,,0.05,X-ray,1,2M,Simbad,22562068+6245146,344.086178,+62.754066,0.060,0.060,90,14.096,13.100,12.823,0.029,0.025,0.030,AAA,222,0,2450750.5922
0.064359,344.0879583,62.7346667,22 56 21.11,+62 44 04.8,III,15.9,2.38,11.85,10.99,10.71,10.59,10.69,10.6,10.48,,0.03,,1,2M,Simbad,22562111+6244048,344.087997,+62.734669,0.060,0.060,90,11.854,10.992,10.714,0.021,0.021,0.019,AAA,222,0,2450750.5922
0.124956,344.0886667,62.4273611,22 56 21.28,+62 25 38.5,III,19.99,3.07,14.57,13.58,13.22,12.95,12.88,12.75,13.06,,0.05,,1,2M,Simbad,22562128+6225383,344.088700,+62.427330,0.060,0.060,0,14.572,13.579,13.220,0.029,0.031,0.034,AAA,222,0,2450750.5919
0.132356,344.088875,62.7238056,22 56 21.33,+62 43 25.7,III,14.75,1.94,11.43,10.69,10.46,10.25,10.26,10.2,10.16,,0.02,X-ray,1,2M,Simbad,22562134+6243257,344.088954,+62.723812,0.060,0.060,90,11.427,10.688,10.463,0.020,0.019,0.017,AAA,222,0,2450750.5922
0.098457,344.0897083,62.9376944,22 56 21.53,+62 56 15.7,III,19.23,2.84,14.07,13.0,12.7,12.46,12.46,12.35,12.34,,0.06,,1,2M,Simbad,22562153+6256156,344.089724,+62.937668,0.060,0.060,90,14.075,13.002,12.697,0.028,0.025,0.027,AAA,222,0,2450750.5923
0.100064,344.0899583,62.7761389,22 56 21.59,+62 46 34.1,III,22.61,4.51,15.11,14.24,13.8,13.3,13.18,13.12,13.12,,0.02,X-ray,1,2M,Simbad,22562158+6246340,344.089943,+62.776112,0.060,0.060,90,15.113,14.245,13.795,0.049,0.052,0.047,AAA,222,0,2450750.5922
0.165645,344.0905,62.4550556,22 56 21.72,+62 27 18.2,III,19.63,3.0,14.48,13.66,13.18,12.97,12.9,12.93,12.87,,,,1,2M,Simbad,22562174+6227181,344.090599,+62.455051,0.060,0.060,90,14.475,13.657,13.181,0.039,0.040,0.037,AAA,222,0,2450750.5920
0.105021,344.0905417,62.8423056,22 56 21.73,+62 50 32.3,III,21.23,4.11,14.48,13.65,13.31,12.83,12.71,12.68,12.56,,0.02,,1,2M,Simbad,22562174+6250323,344.090593,+62.842323,0.060,0.060,90,14.477,13.647,13.306,0.035,0.037,0.040,AAA,222,0,2450750.5923
0.785439,344.0910833,62.7261389,22 56 21.86,+62 43 34.1,III,22.13,3.97,15.63,14.82,14.41,13.85,13.83,13.85,13.92,,0.01,X-ray,1,2M,Simbad,22562186+6243348,344.091096,+62.726357,0.070,0.070,90,15.634,14.823,14.410,0.089,0.091,0.087,AAA,222,0,2450750.5922
0.039705,344.091125,62.7019167,22 56 21.87,+62 42 06.9,III,21.61,3.82,15.25,14.33,14.1,13.63,13.57,13.42,13.43,,0.04,,1,2M,Simbad,22562186+6242068,344.091101,+62.701916,0.060,0.060,45,15.249,14.333,14.096,0.058,0.063,0.069,AAA,222,0,2450750.5921
0.168532,344.092375,62.8141111,22 56 22.17,+62 48 50.8,III,22.32,3.91,15.85,14.97,14.69,14.25,14.13,14.1,14.13,,,,1,2M,Simbad,22562216+6248506,344.092335,+62.814068,0.080,0.070,0,15.848,14.969,14.695,0.103,0.095,0.105,AAA,222,0,2450750.5922
0.181351,344.0925417,62.6065278,22 56 22.21,+62 36 23.5,III,21.14,3.93,14.82,13.91,13.53,13.15,13.04,12.99,12.93,,0.03,X-ray,1,2M,Simbad,22562223+6236235,344.092642,+62.606548,0.060,0.060,45,14.819,13.909,13.528,0.042,0.048,0.044,AAA,222,0,2450750.5921
0.096279,344.0929583,62.68025,22 56 22.31,+62 40 48.9,III,17.28,2.2,13.52,12.65,12.44,12.29,12.28,12.22,12.32,,0.03,X-ray,1,2M,Simbad,22562231+6240488,344.092979,+62.680225,0.060,0.060,90,13.524,12.654,12.444,0.023,0.023,0.027,AAA,222,0,2450750.5921
0.100463,344.0932083,62.9118889,22 56 22.37,+62 54 42.8,III,18.33,2.68,13.45,12.44,12.11,11.91,11.93,11.91,11.86,,0.05,,1,2M,Simbad,22562236+6254426,344.093207,+62.911861,0.060,0.060,90,13.450,12.436,12.111,0.024,0.021,0.022,AAA,222,0,2450750.5923
0.112997,344.093625,62.4164167,22 56 22.47,+62 24 59.1,III,21.79,4.08,15.15,14.06,13.76,13.41,13.28,13.22,13.11,,0.06,,1,2M,Simbad,22562246+6224591,344.093588,+62.416443,0.060,0.060,0,15.149,14.064,13.757,0.053,0.045,0.048,AAA,222,0,2450750.5919
0.411650,344.0936667,62.7572222,22 56 22.48,+62 45 26.0,III,21.68,4.15,14.95,14.14,13.71,13.39,13.32,13.32,13.52,,0.01,,1,2M,Simbad,22562252+6245262,344.093874,+62.757286,0.060,0.060,45,14.951,14.143,13.709,0.072,0.053,0.065,AAA,222,0,2450750.5922
0.090414,344.0954583,62.7249444,22 56 22.91,+62 43 29.8,III,18.96,3.06,13.95,12.99,12.69,12.47,12.39,12.36,12.38,,0.04,X-ray,1,2M,Simbad,22562289+6243297,344.095404,+62.724941,0.060,0.060,90,13.949,12.993,12.695,0.025,0.026,0.028,AAA,222,0,2450750.5922
0.141482,344.0959583,62.6562222,22 56 23.03,+62 39 22.4,III,18.84,2.65,14.26,13.37,13.07,12.88,12.81,12.75,12.75,,0.03,X-ray,1,2M,Simbad,22562302+6239225,344.095923,+62.656258,0.060,0.060,90,14.258,13.374,13.072,0.032,0.034,0.033,AAA,222,0,2450750.5921
0.154962,344.0960417,62.7881389,22 56 23.05,+62 47 17.3,III,17.4,2.29,13.24,12.36,12.08,11.91,11.93,11.84,11.76,,0.03,,1,2M,Simbad,22562307+6247173,344.096129,+62.788155,0.060,0.060,90,13.244,12.365,12.076,0.030,0.032,0.031,AAA,222,0,2450750.5922
0.012919,344.0967917,62.3994722,22 56 23.23,+62 23 58.1,III,22.19,3.9,15.87,14.94,14.6,14.17,14.08,13.88,13.06,9.45,0.04,,1,2M,Simbad,22562323+6223580,344.096799,+62.399471,0.070,0.070,0,15.867,14.935,14.599,0.095,0.085,0.098,AAA,222,0,2450750.5919
0.083328,344.0978333,62.7715556,22 56 23.48,+62 46 17.6,III,17.04,2.53,12.4,11.4,11.09,10.9,10.92,10.84,10.79,,0.05,,1,2M,Simbad,22562348+6246176,344.097869,+62.771572,0.060,0.060,90,12.399,11.398,11.086,0.023,0.021,0.019,AAA,222,0,2450750.5922
0.063878,344.0980833,62.5619444,22 56 23.54,+62 33 43.0,III,18.57,2.76,13.81,12.82,12.47,12.21,12.18,11.96,11.94,,0.05,,1,2M,Simbad,22562354+6233429,344.098098,+62.561928,0.060,0.060,90,13.812,12.822,12.466,0.045,0.044,0.050,AAA,222,0,2450750.5920
0.154439,344.098375,62.6087778,22 56 23.61,+62 36 31.6,III,21.91,3.96,15.51,14.53,14.26,13.75,13.64,13.11,,,0.04,,1,2M,Simbad,22562363+6236315,344.098464,+62.608765,0.070,0.070,135,15.509,14.533,14.264,0.088,0.075,0.095,AAA,222,0,2450750.5921
0.145270,344.098375,62.9333056,22 56 23.61,+62 55 59.9,III,15.01,1.77,11.9,11.49,11.29,11.19,11.15,11.13,11.19,,,,1,2M,Simbad,22562362+6256000,344.098438,+62.933334,0.060,0.060,90,11.899,11.486,11.294,0.021,0.021,0.019,AAA,222,0,2450750.5923
0.163747,344.0985,62.9024444,22 56 23.64,+62 54 08.8,III,18.47,2.62,13.68,12.66,12.36,12.16,12.17,12.12,12.0,,0.05,,1,2M,Simbad,22562365+6254086,344.098578,+62.902416,0.060,0.060,90,13.681,12.662,12.357,0.024,0.022,0.022,AAA,222,0,2450750.5923
0.168256,344.098625,62.6992778,22 56 23.67,+62 41 57.4,III,21.2,3.76,15.25,14.38,13.91,13.58,13.51,13.46,13.56,,0.01,,1,2M,Simbad,22562364+6241574,344.098524,+62.699284,0.060,0.060,45,15.250,14.379,13.914,0.058,0.056,0.058,AAA,222,0,2450750.5921
0.137254,344.09875,62.6809444,22 56 23.70,+62 40 51.4,III,19.06,3.22,13.72,12.79,12.45,12.15,12.1,12.0,12.01,,0.04,X-ray,1,2M,Simbad,22562371+6240514,344.098833,+62.680946,0.060,0.060,90,13.718,12.790,12.455,0.030,0.031,0.028,AAA,222,0,2450750.5921
0.916673,344.0993333,62.5991944,22 56 23.84,+62 35 57.1,III,19.13,2.97,14.24,13.28,12.97,12.76,12.73,12.64,12.66,,0.04,X-ray,1,2M,Simbad,22562384+6235580,344.099342,+62.599449,0.060,0.060,90,14.238,13.284,12.973,0.031,0.028,0.028,AAA,222,0,2450750.5921
0.206322,344.10025,62.6289722,22 56 24.06,+62 37 44.3,III,18.4,2.74,13.55,12.49,12.19,11.97,11.96,11.83,11.64,,0.05,,1,2M,Simbad,22562408+6237442,344.100363,+62.628948,0.060,0.060,90,13.545,12.492,12.190,0.032,0.021,0.025,AAA,222,0,2450750.5921
0.100343,344.1002917,62.4138611,22 56 24.07,+62 24 49.9,III,17.82,2.36,13.75,13.09,12.81,12.6,12.6,12.62,12.75,,,,1,2M,Simbad,22562406+6224498,344.100250,+62.413841,0.060,0.060,0,13.749,13.092,12.811,0.025,0.026,0.028,AAA,222,0,2450750.5919
0.065248,344.1004583,62.577,22 56 24.11,+62 34 37.2,III,21.46,3.56,15.6,14.61,14.32,13.99,13.94,13.7,,,0.05,X-ray,1,2M,Simbad,22562410+6234372,344.100422,+62.577007,0.070,0.060,86,15.597,14.606,14.321,0.070,0.067,0.075,AAA,222,0,2450750.5921
0.207177,344.1005833,62.6241389,22 56 24.14,+62 37 26.9,III,21.83,3.95,15.33,14.65,14.2,13.84,13.71,13.67,,,,X-ray,1,2M,Simbad,22562416+6237268,344.100708,+62.624134,0.060,0.060,90,15.330,14.647,14.205,0.060,0.070,0.071,AAA,222,0,2450750.5921
0.282450,344.1007917,62.4004167,22 56 24.19,+62 24 01.5,III,20.2,3.18,14.58,13.52,13.24,12.86,12.83,12.78,12.85,,0.05,,1,2M,Simbad,22562416+6224017,344.100686,+62.400478,0.060,0.060,0,14.583,13.519,13.237,0.038,0.033,0.040,AAA,222,0,2450750.5919
0.209783,344.100875,62.7133333,22 56 24.21,+62 42 48.0,III,17.78,2.55,13.29,12.37,12.04,11.83,11.9,11.83,11.76,,0.04,,1,2M,Simbad,22562423+6242480,344.100998,+62.713348,0.060,0.060,135,13.291,12.370,12.043,0.028,0.026,0.025,AAA,222,0,2450750.5922
0.141804,344.10125,62.5615,22 56 24.30,+62 33 41.4,III,19.66,3.16,14.41,13.38,13.1,12.94,12.96,12.78,13.08,,0.05,X-ray,1,2M,Simbad,22562430+6233415,344.101262,+62.561539,0.060,0.060,90,14.406,13.375,13.098,0.036,0.030,0.035,AAA,222,0,2450750.5920
0.155731,344.1012917,62.7293611,22 56 24.31,+62 43 45.7,III,21.02,3.48,15.45,14.44,14.22,14.0,13.93,13.92,13.82,,0.05,X-ray,1,2M,Simbad,22562433+6243456,344.101386,+62.729359,0.060,0.060,45,15.446,14.443,14.222,0.070,0.068,0.069,AAA,222,0,2450750.5922
