angDist,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,Cl,Vmag,V-I,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],AKs,Note,M07,2M,Simbad,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.169065,344.00904,62.51067,22 56 02.17,+62 30 38.4,III,18.61,3.13,13.24,12.18,11.85,11.54,11.52,11.42,11.35,,0.05,X-ray,1,2M,Simbad,344.00913372100,62.51065172350,0.002,0.002,90,2207216064588945152,344.00912628597,0.0641,62.51064018315,0.0567,1.1271,0.0719,-0.797,0.152,-2.680,0.115,0,3.24847e+03,8.22498e+00,16.909168,4.60346e+02,1.08025e+01,18.693678,4.71538e+03,4.15967e+01,15.578129,3.115549,,,4103.71,2.7903,1.4145,0.79,0.158
0.087784,344.00975,62.44578,22 56 02.34,+62 26 44.8,III,22.33,4.31,15.39,14.52,13.99,13.42,13.27,,12.74,,0.01,,1,2M,Simbad,344.00970395800,62.44579187310,0.013,0.010,90,2207213483319778688,344.00970339629,0.3944,62.44578027938,0.3275,1.9606,0.4299,-0.060,0.828,-2.693,0.641,0,2.83103e+02,1.31208e+00,19.558502,8.61994e+01,7.67372e+00,20.512627,6.03236e+02,8.18660e+00,17.810701,2.701925,,,,,,,
0.133643,344.01062,62.66089,22 56 02.55,+62 39 39.2,III,18.28,2.75,13.39,12.46,12.2,12.01,11.91,11.91,11.86,,0.04,X-ray,2,2M,Simbad,344.01067828600,62.66091572130,0.003,0.003,90,2207267810354845440,344.01067815086,0.0817,62.66090779375,0.0753,1.1166,0.0943,-0.014,0.215,-1.841,0.164,0,4.52289e+03,1.99105e+01,16.549826,9.34140e+02,2.73606e+01,17.925358,5.96657e+03,7.73713e+01,15.322608,2.602750,,,4040.05,2.8980,1.4620,0.99,0.233
0.153980,344.01108,62.48681,22 56 02.66,+62 29 12.5,III,22.28,4.05,15.94,14.82,14.59,14.01,13.94,13.83,13.31,,0.06,,1,2M,Simbad,344.01100512700,62.48678483770,0.016,0.011,90,2207215991569199232,344.01100291361,0.4401,62.48677038303,0.3549,1.0657,0.4650,-0.237,1.012,-3.357,0.733,0,2.09184e+02,9.90999e-01,19.887045,3.74716e+01,6.55810e+00,21.417133,3.93249e+02,5.89101e+00,18.275250,3.141884,,,,,,,
0.167265,344.0135,62.58447,22 56 03.24,+62 35 04.1,III,18.4,2.52,13.96,13.06,12.74,12.54,12.55,12.47,12.43,,0.04,,1,2M,Simbad,344.01359904700,62.58447888400,0.002,0.002,90,2207220153397783424,344.01357274422,0.0706,62.58447735067,0.0576,0.0969,0.0768,-2.813,0.138,-0.356,0.110,0,2.47669e+03,1.93951e+00,17.203688,5.11634e+02,6.58342e+00,18.578989,3.20466e+03,1.04074e+01,15.997467,2.581522,,,,,,,
0.149671,344.01471,62.57786,22 56 03.53,+62 34 40.3,III,22.19,4.22,15.52,14.57,14.19,13.81,13.69,13.7,13.36,,0.04,,1,2M,Simbad,344.01479697800,62.57784886790,0.012,0.009,90,2207220149100781056,344.01480210775,0.3240,62.57783568883,0.2713,1.7160,0.3468,0.549,0.762,-3.061,0.557,0,2.72932e+02,1.08736e+00,19.598228,5.55949e+01,7.01404e+00,20.988802,5.07672e+02,7.33520e+00,17.997963,2.990839,,,,,,,
0.888242,344.01529,62.69614,22 56 03.67,+62 41 46.1,III,21.96,3.79,15.96,15.23,14.93,14.51,14.41,14.57,14.4,,,,1,2M,Simbad,344.01525410600,62.69638618390,0.014,0.010,90,2207268665051394048,344.01524637784,0.3160,62.69637454831,0.2737,1.0867,0.3477,-0.823,0.889,-2.702,0.636,0,2.25172e+02,8.60709e-01,19.807080,5.95918e+01,6.68442e+00,20.913422,3.92781e+02,7.89565e+00,18.276545,2.636877,,,,,,,
0.811237,344.01621,62.72642,22 56 03.89,+62 43 35.1,III,17.64,2.45,13.53,12.64,12.43,12.22,12.21,12.16,12.13,,0.03,X-ray,1,2M,Simbad,344.01629744800,62.72664175220,0.002,0.001,90,2207268944226160000,344.01629052888,0.0485,62.72663292319,0.0430,1.1518,0.0556,-0.736,0.120,-2.051,0.090,0,4.83329e+03,1.94044e+01,16.477758,1.13018e+03,2.06651e+01,17.718520,5.90925e+03,5.70662e+01,15.333090,2.385429,,,3432.00,2.7920,1.4148,1.70,0.360
0.074999,344.01654,62.53531,22 56 03.97,+62 32 07.1,III,22.32,4.2,15.66,14.61,14.23,13.97,13.87,13.61,13.39,,0.05,,1,2M,Simbad,344.01652148500,62.53529099740,0.016,0.011,90,2207219122605654912,344.01651361435,0.4120,62.53527680474,0.3251,1.5009,0.4223,-0.843,1.039,-3.296,0.735,0,2.22088e+02,9.96235e-01,19.822052,6.26390e+01,1.60438e+01,20.859276,4.11276e+02,9.47910e+00,18.226587,2.632689,,,,,,,
0.102003,344.01771,62.71706,22 56 04.25,+62 43 01.4,III,19.05,1.91,15.75,15.25,15.0,14.65,14.61,14.47,14.48,,,X-ray,1,2M,Simbad,344.01777164400,62.71705790760,0.004,0.003,90,2207268733768486016,344.01779223399,0.1220,62.71705312541,0.0996,0.5281,0.1425,2.192,0.277,-1.111,0.206,1,8.76046e+02,2.33328e+00,18.332048,2.99381e+02,1.05690e+01,19.160828,9.66286e+02,1.10879e+01,17.299156,1.861671,,,,,,,
