mag,err
nan,nan
nan,nan
nan,nan
nan,nan
13.125134,0.048081718
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.278473,0.13306448
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.59951,0.28710255
nan,nan
nan,nan
nan,nan
nan,nan
11.782799,0.014805275
13.30574,0.058654789
nan,nan
15.079262,0.20790526
14.364037,0.14715669
nan,nan
nan,nan
nan,nan
nan,nan
14.475494,0.13011983
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.852577,0.086092763
12.810966,0.048028812
nan,nan
13.949394,0.08796785
nan,nan
nan,nan
14.03141,0.085764445
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.914467,0.037424978
nan,nan
nan,nan
13.99807,0.098149337
nan,nan
nan,nan
nan,nan
14.37645,0.1926012
nan,nan
nan,nan
14.620842,0.14136679
14.891899,0.18704532
nan,nan
13.496651,0.052966364
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.795723,0.071173407
nan,nan
nan,nan
15.08094,0.20206502
nan,nan
12.882584,0.033035953
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.251629,0.093161523
nan,nan
nan,nan
nan,nan
nan,nan
13.918884,0.12974642
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.7425,0.20027624
nan,nan
nan,nan
nan,nan
nan,nan
14.102394,0.10778019
nan,nan
13.979546,0.10430966
14.230179,0.085898161
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
11.359474,0.016243672
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.841465,0.20453577
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.101074,0.12175266
nan,nan
12.829746,0.03400743
13.548286,0.052331556
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.656696,0.026651748
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.787697,0.10075482
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.471458,0.29371908
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.955231,0.073005848
nan,nan
nan,nan
nan,nan
14.222275,0.11408643
nan,nan
nan,nan
13.765892,0.082881495
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.72327,0.13802412
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.330879,0.070272736
nan,nan
nan,nan
nan,nan
14.172363,0.11628193
nan,nan
nan,nan
nan,nan
14.654732,0.1296397
nan,nan
15.326172,0.25011116
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.595207,0.13214491
14.458,0.19696203
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
11.65136,0.015471807
13.083565,0.039628364
14.505844,0.089187413
nan,nan
nan,nan
nan,nan
14.29541,0.10002601
nan,nan
14.119522,0.071847834
nan,nan
nan,nan
13.707016,0.070001051
nan,nan
nan,nan
nan,nan
nan,nan
14.302773,0.10563835
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.724129,0.063046739
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.177563,0.088695057
nan,nan
nan,nan
13.994019,0.077501804
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.982063,0.080136508
9.6034317,0.0036398908
nan,nan
nan,nan
14.603302,0.12165328
13.049164,0.046052668
nan,nan
11.629982,0.013705772
nan,nan
12.917549,0.039706297
nan,nan
nan,nan
nan,nan
13.606316,0.078690663
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.824139,0.12001942
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.746727,0.13867676
nan,nan
14.758095,0.19707108
14.759323,0.14034031
13.904907,0.084308147
14.02153,0.085589051
13.511757,0.085184127
nan,nan
nan,nan
nan,nan
nan,nan
8.7027016,0.0023683538
14.21397,0.11375406
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.563957,0.11330056
nan,nan
nan,nan
nan,nan
13.876625,0.072481498
nan,nan
nan,nan
11.933189,0.01767919
nan,nan
14.427528,0.095539279
12.659538,0.035250966
14.492905,0.12226
10.358841,0.0054608881
nan,nan
nan,nan
13.516373,0.047847163
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.518452,0.10383043
13.861496,0.070407704
nan,nan
12.957527,0.045675155
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.039635,0.099250376
nan,nan
12.69371,0.029815402
nan,nan
nan,nan
13.132797,0.051252913
nan,nan
13.372257,0.070160367
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.871124,0.14460172
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.851593,0.045259122
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.927048,0.032944717
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.507473,0.098987989
14.491989,0.10118356
nan,nan
nan,nan
12.684036,0.032138623
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.51973,0.1032935
nan,nan
14.242416,0.096045345
nan,nan
13.431282,0.042683173
nan,nan
14.617332,0.15153274
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
11.265205,0.011136389
nan,nan
nan,nan
nan,nan
nan,nan
12.671188,0.030816335
14.887802,0.16812967
nan,nan
14.696388,0.11534093
nan,nan
nan,nan
nan,nan
14.288399,0.1394707
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.815964,0.13533567
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.486183,0.022082319
nan,nan
nan,nan
nan,nan
14.278786,0.1230583
nan,nan
nan,nan
nan,nan
13.199104,0.064180292
nan,nan
nan,nan
nan,nan
11.393219,0.0093268994
nan,nan
nan,nan
nan,nan
14.937073,0.15500741
nan,nan
nan,nan
nan,nan
12.176407,0.024466351
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.761826,0.032228064
nan,nan
nan,nan
nan,nan
nan,nan
13.753944,0.076206848
nan,nan
nan,nan
14.383263,0.093429998
nan,nan
12.751831,0.032870047
14.078308,0.090105221
14.694088,0.13909268
nan,nan
nan,nan
15.587456,0.25968391
nan,nan
nan,nan
nan,nan
nan,nan
15.393799,0.2626372
nan,nan
14.007141,0.083613165
14.371822,0.36733001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.899017,0.06833566
nan,nan
nan,nan
nan,nan
nan,nan
13.919647,0.081630804
nan,nan
nan,nan
nan,nan
nan,nan
13.63242,0.069516256
nan,nan
nan,nan
15.120468,0.23787709
nan,nan
14.869854,0.12749779
15.541008,0.20175855
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.405418,0.023985641
nan,nan
nan,nan
nan,nan
12.507782,0.036934998
nan,nan
nan,nan
14.111443,0.080952846
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.722893,0.16124205
nan,nan
15.323425,0.22435425
nan,nan
15.544907,0.2477548
nan,nan
11.595222,0.012944511
nan,nan
12.078873,0.019603282
nan,nan
nan,nan
nan,nan
14.715584,0.11541571
13.888512,0.057724845
nan,nan
14.004478,0.064145736
15.207893,0.17734888
nan,nan
nan,nan
nan,nan
nan,nan
