RA,Dec
nan,nan
nan,nan
350.120403,62.122101
nan,nan
349.733875,62.143288
nan,nan
nan,nan
nan,nan
nan,nan
350.147236,62.12122
nan,nan
350.076526,62.125217
nan,nan
349.789187,62.140705
349.556176,62.152924
349.468152,62.157581
nan,nan
nan,nan
349.943476,62.132675
nan,nan
349.784905,62.141228
nan,nan
nan,nan
nan,nan
nan,nan
349.334274,62.164364
349.678511,62.146992
nan,nan
349.451185,62.158768
349.407344,62.160984
349.154363,62.173603
nan,nan
nan,nan
nan,nan
349.311378,62.165981
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
349.822993,62.139984
nan,nan
349.695824,62.146622
349.67637,62.147575
nan,nan
349.641919,62.149467
nan,nan
349.500873,62.156639
349.418117,62.161018
nan,nan
nan,nan
349.138753,62.174675
nan,nan
350.223781,62.117928
350.193586,62.119656
350.187088,62.12009
349.877774,62.137234
349.772542,62.142738
nan,nan
349.742942,62.144234
349.70731,62.146267
nan,nan
nan,nan
349.288586,62.167686
349.062419,62.178696
nan,nan
nan,nan
348.955551,62.18372
348.940097,62.184483
nan,nan
348.743029,62.193672
348.701761,62.195702
nan,nan
nan,nan
nan,nan
nan,nan
350.216619,62.118568
nan,nan
nan,nan
349.996537,62.130913
nan,nan
349.962826,62.132793
349.94128,62.133938
nan,nan
349.793155,62.141869
nan,nan
349.566763,62.153866
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
348.937602,62.184986
nan,nan
348.640297,62.198616
nan,nan
350.234876,62.117821
nan,nan
nan,nan
350.013321,62.130295
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
349.265705,62.16927
nan,nan
348.848917,62.189335
nan,nan
nan,nan
348.497124,62.205067
nan,nan
nan,nan
nan,nan
nan,nan
349.921368,62.135548
nan,nan
349.894915,62.136997
349.881543,62.137733
nan,nan
nan,nan
349.49908,62.157574
nan,nan
nan,nan
nan,nan
349.120267,62.176723
nan,nan
nan,nan
348.741689,62.194546
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
349.945566,62.134304
nan,nan
nan,nan
349.565951,62.154762
349.554829,62.155033
nan,nan
nan,nan
349.150869,62.175571
nan,nan
348.887769,62.187912
348.726796,62.195229
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
348.00352,62.226284
347.878359,62.231495
349.858647,62.139408
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
349.289772,62.168812
nan,nan
349.234188,62.171589
nan,nan
nan,nan
nan,nan
nan,nan
348.840363,62.190418
nan,nan
nan,nan
nan,nan
348.713725,62.196285
nan,nan
348.679147,62.197895
348.172258,62.219776
nan,nan
nan,nan
nan,nan
347.850267,62.232811
347.835677,62.233242
nan,nan
347.696453,62.238674
350.138908,62.12426
nan,nan
349.820417,62.141705
nan,nan
nan,nan
nan,nan
nan,nan
349.425756,62.162334
nan,nan
349.161653,62.175449
348.923236,62.186867
nan,nan
nan,nan
348.46022,62.207745
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
347.907354,62.230747
nan,nan
nan,nan
nan,nan
350.209885,62.120522
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
349.681418,62.149143
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
349.109004,62.178307
nan,nan
nan,nan
nan,nan
348.508855,62.205906
nan,nan
nan,nan
nan,nan
348.042796,62.225536
nan,nan
347.808642,62.234604
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
350.081862,62.12812
nan,nan
nan,nan
349.461212,62.160954
349.054935,62.181038
nan,nan
nan,nan
nan,nan
nan,nan
348.193844,62.21957
348.160746,62.220993
348.009447,62.227222
347.93391,62.230106
nan,nan
nan,nan
nan,nan
347.332814,62.252556
nan,nan
347.145559,62.25919
nan,nan
nan,nan
349.70397,62.148598
nan,nan
nan,nan
nan,nan
nan,nan
348.962463,62.185501
nan,nan
348.949324,62.18634
348.882009,62.18948
nan,nan
348.439439,62.209396
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
347.962264,62.22921
nan,nan
nan,nan
347.705243,62.239239
nan,nan
nan,nan
nan,nan
nan,nan
347.169955,62.258514
347.099511,62.26104
350.124127,62.126076
nan,nan
nan,nan
nan,nan
nan,nan
349.62932,62.152599
nan,nan
nan,nan
349.344073,62.167404
349.285988,62.17033
nan,nan
nan,nan
nan,nan
nan,nan
348.622939,62.201473
348.565936,62.204048
nan,nan
nan,nan
348.318701,62.214825
348.127787,62.222645
nan,nan
347.980942,62.228668
nan,nan
347.92437,62.231033
nan,nan
nan,nan
nan,nan
347.360128,62.252182
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
346.789638,62.271355
nan,nan
350.131756,62.125904
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
349.721135,62.148239
349.611049,62.153934
nan,nan
349.418958,62.164021
nan,nan
nan,nan
349.228468,62.17342
nan,nan
nan,nan
349.031078,62.183071
nan,nan
348.904992,62.188766
348.752803,62.19603
348.738665,62.196354
348.736397,62.196789
348.491968,62.207558
nan,nan
348.259245,62.217476
348.255491,62.217743
nan,nan
348.075287,62.225143
347.975791,62.229263
nan,nan
nan,nan
347.851682,62.234024
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
347.224509,62.257225
347.052652,62.263161
346.88245,62.268616
nan,nan
350.160825,62.124416
349.833006,62.14238
nan,nan
nan,nan
349.433127,62.163284
349.350367,62.167614
349.320152,62.168964
349.260359,62.172028
349.252958,62.172523
348.928492,62.187897
nan,nan
nan,nan
348.762884,62.195618
nan,nan
nan,nan
nan,nan
nan,nan
348.476383,62.208431
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
348.029311,62.227318
347.989318,62.228916
nan,nan
347.551615,62.245804
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
346.454965,62.281971
nan,nan
349.865928,62.140999
349.857956,62.141373
349.762703,62.146397
349.595006,62.1553
349.566216,62.156796
349.5448,62.157967
nan,nan
nan,nan
349.292711,62.170624
nan,nan
nan,nan
348.841524,62.192108
348.793407,62.194511
348.699234,62.198719
nan,nan
nan,nan
nan,nan
nan,nan
348.155647,62.222282
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
347.54942,62.246113
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
347.257149,62.256538
nan,nan
nan,nan
nan,nan
346.733341,62.273811
nan,nan
346.65413,62.276302
346.587291,62.278267
nan,nan
349.954219,62.136452
349.795252,62.144955
nan,nan
349.068272,62.181713
nan,nan
nan,nan
nan,nan
348.79537,62.194626
348.720395,62.19812
nan,nan
348.554194,62.205418
nan,nan
348.216223,62.220039
348.170817,62.22192
348.066189,62.226261
nan,nan
347.966921,62.230305
nan,nan
nan,nan
nan,nan
nan,nan
347.50182,62.248005
347.48455,62.248726
nan,nan
nan,nan
nan,nan
347.139013,62.260864
347.092382,62.262455
nan,nan
346.797752,62.272018
346.509311,62.280663
nan,nan
nan,nan
346.193657,62.289639
nan,nan
nan,nan
nan,nan
349.907614,62.139019
nan,nan
nan,nan
349.663406,62.152142
nan,nan
nan,nan
349.364474,62.167599
349.111924,62.179836
nan,nan
348.851479,62.192394
348.764612,62.196259
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
348.272225,62.218037
nan,nan
nan,nan
nan,nan
347.681728,62.24165
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
346.9984,62.265747
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
350.196529,62.123375
nan,nan
349.979476,62.135502
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
348.703605,62.199509
nan,nan
nan,nan
nan,nan
nan,nan
348.089209,62.225658
nan,nan
nan,nan
nan,nan
nan,nan
347.537486,62.247322
nan,nan
nan,nan
347.476938,62.249527
nan,nan
347.222122,62.258492
347.203098,62.25922
347.143005,62.261124
347.135711,62.261452
nan,nan
347.047295,62.26424
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
346.26908,62.288124
346.252409,62.288506
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
350.075952,62.130367
349.905266,62.139671
nan,nan
349.49657,62.161186
nan,nan
nan,nan
nan,nan
nan,nan
348.632655,62.202774
nan,nan
nan,nan
nan,nan
nan,nan
347.834072,62.236229
nan,nan
nan,nan
nan,nan
nan,nan
347.233263,62.258045
347.176254,62.260323
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
350.147085,62.12661
349.945628,62.137787
349.913962,62.139507
nan,nan
nan,nan
349.140053,62.179249
nan,nan
