mag,err
nan,nan
nan,nan
14.316,0.044
nan,nan
13.405,0.039999999
nan,nan
nan,nan
nan,nan
nan,nan
15.472,0.114
nan,nan
13.474,0.030999999
nan,nan
15.861,0.186
14.352,0.061999999
15.81,0.133
nan,nan
nan,nan
15.546,0.152
nan,nan
15.796,0.17
nan,nan
nan,nan
nan,nan
nan,nan
12.443,0.032000002
13.964,0.052999999
nan,nan
15.267,0.101
15.239,0.085000001
15.64,0.13600001
nan,nan
nan,nan
nan,nan
14.818,0.064999998
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.295,0.13
nan,nan
14.256,0.050000001
13.207,0.057
nan,nan
14.399,0.067000002
nan,nan
15.523,0.11
14.38,0.052000001
nan,nan
nan,nan
15.59,0.12
nan,nan
15.613,0.12
13.751,0.048
10.765,0.027000001
15.348,0.113
13.165,0.035
nan,nan
nan,nan
14.319,0.063000001
nan,nan
nan,nan
15.131,0.086000003
15.16,0.083999999
nan,nan
nan,nan
15.327,0.086000003
15.069,0.078000002
nan,nan
13.821,0.043000001
15.695,0.178
nan,nan
nan,nan
nan,nan
nan,nan
15.037,0.112
nan,nan
nan,nan
14.386,0.050000001
nan,nan
15.934,0.19499999
14.958,0.093000002
nan,nan
13.3,0.033
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.863,0.148
nan,nan
15.103,0.108
nan,nan
15.87,0.156
nan,nan
nan,nan
14.138,0.054000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.577,0.113
nan,nan
nan,nan
nan,nan
nan,nan
14.842,0.061000001
nan,nan
nan,nan
nan,nan
nan,nan
14.668,0.068000004
nan,nan
14.575,0.067000002
14.83,0.077
nan,nan
nan,nan
16.094999,0.17200001
nan,nan
nan,nan
nan,nan
12.215,0.028000001
nan,nan
nan,nan
15.38,0.109
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.992,0.093999997
nan,nan
nan,nan
nan,nan
15.405,0.121
nan,nan
nan,nan
14.586,0.052000001
nan,nan
13.074,0.029999999
13.996,0.044
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.582,0.13699999
13.024,0.034000002
15.683,0.149
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.186,0.059
nan,nan
15.921,0.14399999
nan,nan
nan,nan
nan,nan
nan,nan
15.858,0.146
nan,nan
nan,nan
nan,nan
16.018,0.18799999
nan,nan
15.98,0.171
14.226,0.046999998
nan,nan
nan,nan
nan,nan
14.735,0.067000002
15.921,0.154
nan,nan
14.913,0.083999999
15.464,0.107
nan,nan
15.7,0.169
nan,nan
nan,nan
nan,nan
nan,nan
15.738,0.127
nan,nan
nan,nan
15.346,0.122
nan,nan
nan,nan
15.757,0.142
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.092,0.071000002
nan,nan
nan,nan
nan,nan
7.4920001,0.033
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.394,0.12
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.698,0.035
nan,nan
nan,nan
nan,nan
14.891,0.071000002
nan,nan
nan,nan
nan,nan
15.102,0.090999998
nan,nan
15.9,0.16
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.346,0.105
nan,nan
nan,nan
15.23,0.086000003
15.017,0.071000002
nan,nan
nan,nan
nan,nan
nan,nan
15.675,0.14399999
12.444,0.039999999
13.454,0.034000002
15.082,0.079000004
nan,nan
nan,nan
nan,nan
15.017,0.068999998
nan,nan
14.374,0.050000001
nan,nan
nan,nan
13.814,0.048999999
nan,nan
nan,nan
nan,nan
nan,nan
14.629,0.07
nan,nan
15.947,0.169
15.581,0.125
nan,nan
15.84,0.16
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.021,0.045000002
nan,nan
nan,nan
15.545,0.111
nan,nan
nan,nan
nan,nan
nan,nan
15.362,0.113
15.209,0.096000001
15.798,0.142
nan,nan
nan,nan
nan,nan
nan,nan
14.408,0.052999999
nan,nan
nan,nan
14.198,0.039000001
15.183,0.086000003
nan,nan
nan,nan
nan,nan
nan,nan
14.716,0.056000002
10.341,0.032000002
nan,nan
nan,nan
15.295,0.093000002
13.499,0.037999999
nan,nan
11.965,0.027000001
nan,nan
13.298,0.043000001
nan,nan
nan,nan
nan,nan
15.86,0.18099999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.331,0.103
nan,nan
15.01,0.093000002
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.604,0.141
15.616,0.138
nan,nan
15.936,0.152
nan,nan
nan,nan
15.79,0.145
nan,nan
nan,nan
15.648,0.117
nan,nan
15.127,0.082000002
15.234,0.113
14.277,0.056000002
14.742,0.112
13.967,0.043000001
nan,nan
15.696,0.13699999
15.788,0.13500001
nan,nan
9.6140003,0.033
14.732,0.075999998
nan,nan
nan,nan
15.365,0.11
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.366,0.098999999
15.133,0.1
nan,nan
nan,nan
14.035,0.037999999
14.225,0.052999999
nan,nan
nan,nan
12.607,0.030999999
14.976,0.068999998
14.698,0.052999999
12.956,0.030999999
15.154,0.085000001
10.82,0.033
nan,nan
nan,nan
14.353,0.056000002
nan,nan
nan,nan
nan,nan
nan,nan
15.64,0.13
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.973,0.072999999
14.697,0.074000001
nan,nan
13.27,0.037999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.178,0.117
nan,nan
13.161,0.033
15.559,0.15000001
15.546,0.14
13.457,0.039000001
nan,nan
13.696,0.039999999
nan,nan
nan,nan
15.952,0.15700001
nan,nan
nan,nan
15.728,0.15700001
15.756,0.15800001
15.554,0.12
nan,nan
nan,nan
nan,nan
nan,nan
15.38,0.107
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.076,0.063000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.515,0.033
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.371,0.111
15.728,0.18099999
nan,nan
nan,nan
13.203,0.041999999
nan,nan
15.775,0.13500001
nan,nan
nan,nan
nan,nan
15.758,0.17200001
14.686,0.072999999
nan,nan
14.564,0.048999999
nan,nan
13.832,0.052000001
15.774,0.163
14.912,0.068000004
nan,nan
15.62,0.132
nan,nan
nan,nan
nan,nan
nan,nan
11.314,0.026000001
15.775,0.178
nan,nan
nan,nan
nan,nan
13.206,0.046
15.219,0.093000002
nan,nan
15.16,0.079000004
nan,nan
nan,nan
nan,nan
15.528,0.12
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.846,0.2
nan,nan
nan,nan
15.639,0.12
16.132999,0.185
nan,nan
15.436,0.098999999
15.486,0.111
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.173,0.034000002
nan,nan
nan,nan
nan,nan
14.964,0.075000003
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
11.992,0.028999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.823,0.048999999
nan,nan
12.588,0.032000002
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.836,0.153
nan,nan
nan,nan
nan,nan
nan,nan
13.475,0.052000001
nan,nan
nan,nan
nan,nan
nan,nan
14.5,0.059
nan,nan
nan,nan
15.008,0.090999998
nan,nan
13.425,0.046
14.996,0.072999999
15.095,0.072999999
15.87,0.176
nan,nan
15.798,0.14399999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.975,0.078000002
15.454,0.116
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.8,0.15000001
nan,nan
nan,nan
14.103,0.043000001
nan,nan
nan,nan
nan,nan
nan,nan
14.68,0.067000002
nan,nan
nan,nan
nan,nan
nan,nan
14.334,0.064000003
nan,nan
nan,nan
nan,nan
nan,nan
15.956,0.152
16.017,0.155
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.186,0.032000002
12.952,0.028000001
15.873,0.2
nan,nan
nan,nan
12.728,0.029999999
nan,nan
nan,nan
14.975,0.090000004
nan,nan
nan,nan
16.129999,0.199
nan,nan
15.815,0.148
nan,nan
15.674,0.13699999
nan,nan
15.606,0.12
nan,nan
15.68,0.13600001
nan,nan
12.856,0.029999999
nan,nan
12.713,0.030999999
nan,nan
15.543,0.112
nan,nan
15.149,0.090000004
14.383,0.054000001
nan,nan
14.347,0.048999999
15.974,0.186
nan,nan
nan,nan
nan,nan
nan,nan
