mag,err
nan,nan
nan,nan
15.148,0.046
nan,nan
13.915,0.030999999
nan,nan
nan,nan
nan,nan
nan,nan
16.135,0.103
nan,nan
14.22,0.027000001
nan,nan
16.538,0.171
14.943,0.039999999
16.486,0.119
nan,nan
nan,nan
15.979,0.109
nan,nan
16.358,0.14399999
nan,nan
nan,nan
nan,nan
nan,nan
13.458,0.027000001
14.579,0.045000002
nan,nan
15.94,0.098999999
16.093,0.082999997
16.759001,0.185
nan,nan
nan,nan
nan,nan
15.504,0.056000002
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.051001,0.109
nan,nan
15.128,0.052999999
13.671,0.048
nan,nan
14.997,0.043000001
nan,nan
16.18,0.109
15.062,0.045000002
nan,nan
nan,nan
16.773001,0.14399999
nan,nan
16.194,0.1
14.215,0.041999999
11.407,0.023
16.025,0.097000003
13.68,0.029999999
nan,nan
16.243999,0.138
14.772,0.044
nan,nan
nan,nan
15.626,0.086000003
16.028,0.077
nan,nan
nan,nan
16.118,0.079999998
15.78,0.075999998
nan,nan
14.533,0.046999998
16.636,0.16599999
nan,nan
nan,nan
nan,nan
nan,nan
15.451,0.085000001
nan,nan
nan,nan
15.187,0.050999999
nan,nan
16.365,0.13699999
15.401,0.082000002
nan,nan
13.659,0.027000001
nan,nan
16.403,0.13500001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.462,0.115
nan,nan
15.683,0.075999998
nan,nan
16.712,0.15000001
nan,nan
nan,nan
14.582,0.041000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.288,0.115
nan,nan
16.610001,0.193
nan,nan
nan,nan
15.503,0.071999997
nan,nan
nan,nan
nan,nan
nan,nan
15.242,0.055
nan,nan
14.871,0.037999999
15.517,0.07
nan,nan
nan,nan
16.441999,0.113
nan,nan
nan,nan
nan,nan
13.567,0.030999999
nan,nan
nan,nan
15.852,0.079999998
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.564,0.075999998
nan,nan
nan,nan
16.511,0.147
16.655001,0.16599999
nan,nan
nan,nan
15.313,0.050000001
nan,nan
13.592,0.029999999
14.703,0.041999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.271999,0.108
13.627,0.028999999
16.301001,0.13
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.664,0.061000001
nan,nan
16.551001,0.123
nan,nan
nan,nan
nan,nan
nan,nan
16.603001,0.132
nan,nan
nan,nan
nan,nan
16.506001,0.117
nan,nan
16.808001,0.17399999
14.93,0.046
nan,nan
nan,nan
nan,nan
15.523,0.054000001
16.959999,0.18700001
nan,nan
16.596001,0.15700001
16.271999,0.108
nan,nan
16.405001,0.139
nan,nan
nan,nan
nan,nan
nan,nan
16.552999,0.133
nan,nan
16.672001,0.149
16.379999,0.106
nan,nan
nan,nan
17.049,0.198
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.93,0.079999998
nan,nan
nan,nan
nan,nan
7.7259998,0.023
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.033001,0.098999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.196,0.027000001
nan,nan
nan,nan
nan,nan
15.808,0.074000001
nan,nan
nan,nan
nan,nan
16.167,0.098999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.968,0.094999999
nan,nan
nan,nan
15.736,0.063000001
15.582,0.048999999
nan,nan
nan,nan
nan,nan
nan,nan
16.365,0.121
13.617,0.046
14.007,0.028999999
15.532,0.061000001
nan,nan
nan,nan
nan,nan
15.858,0.082000002
nan,nan
15.129,0.050000001
nan,nan
nan,nan
14.295,0.030999999
nan,nan
nan,nan
nan,nan
nan,nan
15.285,0.052999999
nan,nan
16.968,0.177
16.473,0.126
nan,nan
17.106001,0.205
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.592,0.035999998
nan,nan
nan,nan
16.771999,0.16500001
nan,nan
nan,nan
nan,nan
nan,nan
16.004,0.082000002
15.959,0.072999999
16.136,0.098999999
nan,nan
nan,nan
nan,nan
nan,nan
15.204,0.041000001
nan,nan
nan,nan
14.71,0.034000002
16.013,0.075999998
nan,nan
nan,nan
nan,nan
nan,nan
15.375,0.052000001
11.386,0.028999999
nan,nan
nan,nan
16.171,0.1
13.994,0.030999999
nan,nan
12.472,0.025
nan,nan
13.946,0.029999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.879,0.064000003
nan,nan
15.327,0.064999998
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.313,0.124
16.025999,0.098999999
nan,nan
16.780001,0.142
nan,nan
nan,nan
16.356001,0.116
nan,nan
nan,nan
16.597,0.13500001
nan,nan
15.953,0.082000002
15.713,0.085000001
14.725,0.052999999
15.618,0.066
14.641,0.035
nan,nan
16.937,0.185
16.485001,0.13699999
nan,nan
10.981,0.030999999
15.599,0.075999998
nan,nan
nan,nan
16.275,0.11
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.132999,0.086999997
15.641,0.063000001
16.73,0.14
nan,nan
14.488,0.030999999
14.634,0.039000001
nan,nan
nan,nan
13.629,0.030999999
15.474,0.045000002
15.429,0.059999999
13.556,0.030999999
16.139999,0.082999997
11.626,0.027000001
nan,nan
nan,nan
14.929,0.056000002
nan,nan
nan,nan
nan,nan
nan,nan
16.747,0.14399999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.684,0.064000003
15.376,0.055
nan,nan
13.691,0.030999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.322001,0.124
nan,nan
13.935,0.028000001
16.65,0.18700001
16.636999,0.16
13.973,0.032000002
16.232,0.109
14.284,0.039000001
nan,nan
nan,nan
16.622,0.139
nan,nan
nan,nan
16.202999,0.115
nan,nan
16.254,0.093999997
nan,nan
nan,nan
nan,nan
nan,nan
15.861,0.068999998
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.52,0.054000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.126,0.029999999
nan,nan
nan,nan
nan,nan
16.601999,0.12899999
nan,nan
16.021999,0.090999998
16.608,0.15099999
nan,nan
16.365,0.14
13.878,0.029999999
nan,nan
16.729,0.149
nan,nan
nan,nan
nan,nan
16.796,0.154
15.252,0.041999999
nan,nan
15.154,0.035
nan,nan
14.433,0.029999999
16.798,0.227
15.658,0.059999999
nan,nan
16.863001,0.19
nan,nan
nan,nan
nan,nan
nan,nan
11.606,0.021
16.712,0.183
nan,nan
nan,nan
nan,nan
13.851,0.035999998
16.103001,0.079999998
nan,nan
15.753,0.064000003
16.681999,0.149
nan,nan
nan,nan
16.132999,0.096000001
nan,nan
nan,nan
nan,nan
16.448,0.17399999
nan,nan
nan,nan
16.212999,0.104
nan,nan
nan,nan
16.849001,0.162
16.686001,0.15800001
nan,nan
15.891,0.068000004
16.458,0.132
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.204,0.033
nan,nan
nan,nan
nan,nan
15.768,0.081
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.909,0.024
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.641,0.050000001
nan,nan
12.983,0.024
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.265,0.048999999
nan,nan
nan,nan
nan,nan
nan,nan
15.494,0.064000003
nan,nan
nan,nan
15.635,0.075000003
nan,nan
14.377,0.043000001
15.614,0.071000002
15.866,0.071999997
16.572001,0.15700001
nan,nan
16.337,0.104
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.758,0.068000004
16.299999,0.096000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.584,0.154
16.386,0.161
nan,nan
14.702,0.032000002
nan,nan
nan,nan
nan,nan
nan,nan
15.664,0.066
nan,nan
nan,nan
nan,nan
nan,nan
14.979,0.054000001
nan,nan
nan,nan
nan,nan
nan,nan
16.74,0.14399999
16.715,0.12899999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.54,0.026000001
13.929,0.024
16.375999,0.141
nan,nan
nan,nan
13.447,0.024
nan,nan
nan,nan
15.471,0.075999998
nan,nan
nan,nan
16.419001,0.119
nan,nan
16.533001,0.13500001
nan,nan
16.292999,0.106
nan,nan
16.538,0.139
nan,nan
16.826,0.147
nan,nan
14.494,0.030999999
nan,nan
13.595,0.028000001
