mag,err
nan,nan
nan,nan
14.108,0.064000003
nan,nan
13.213,0.032000002
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.234,0.035999998
nan,nan
15.604,0.23899999
14.173,0.056000002
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.093,0.023
13.855,0.064000003
nan,nan
15.01,0.125
15.233,0.146
15.531,0.20299999
nan,nan
nan,nan
nan,nan
14.623,0.093000002
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.161,0.178
nan,nan
14.15,0.07
13.015,0.048999999
nan,nan
14.103,0.071000002
nan,nan
15.326,0.15899999
14.215,0.066
nan,nan
nan,nan
15.583,0.2
nan,nan
15.751,0.27700001
13.567,0.054000001
10.534,0.025
nan,nan
12.916,0.032000002
nan,nan
nan,nan
14.207,0.071000002
nan,nan
nan,nan
15.043,0.14399999
14.682,0.105
nan,nan
nan,nan
14.867,0.119
14.99,0.125
nan,nan
13.613,0.046
15.293,0.19499999
nan,nan
nan,nan
nan,nan
nan,nan
15.05,0.153
nan,nan
nan,nan
14.203,0.078000002
nan,nan
nan,nan
14.849,0.148
nan,nan
13.144,0.037
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.223,0.16599999
nan,nan
14.954,0.12899999
nan,nan
15.61,0.233
nan,nan
nan,nan
13.93,0.061000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.328,0.15700001
nan,nan
nan,nan
nan,nan
nan,nan
14.764,0.106
nan,nan
nan,nan
nan,nan
nan,nan
14.395,0.094999999
nan,nan
14.128,0.071000002
14.527,0.101
nan,nan
nan,nan
15.578,0.18799999
nan,nan
nan,nan
nan,nan
11.759,0.021
nan,nan
nan,nan
15.118,0.14
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.655,0.114
nan,nan
nan,nan
nan,nan
15.412,0.18799999
nan,nan
nan,nan
14.576,0.090999998
nan,nan
12.917,0.029999999
13.732,0.041000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.997,0.138
12.811,0.030999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.979,0.066
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.248,0.15700001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.835,0.26199999
14.068,0.059
nan,nan
nan,nan
nan,nan
14.656,0.090999998
15.686,0.23199999
nan,nan
14.412,0.079000004
15.231,0.167
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.293,0.16500001
nan,nan
nan,nan
15.001,0.138
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.781,0.104
nan,nan
nan,nan
nan,nan
7.309,0.021
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.079,0.168
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.523,0.028999999
nan,nan
nan,nan
nan,nan
14.525,0.092
nan,nan
nan,nan
nan,nan
14.719,0.102
nan,nan
15.796,0.24699999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.096,0.155
nan,nan
nan,nan
14.942,0.118
14.895,0.103
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.015,0.033
13.221,0.037999999
14.834,0.111
nan,nan
nan,nan
nan,nan
14.856,0.092
nan,nan
14.172,0.059
nan,nan
nan,nan
13.576,0.045000002
nan,nan
nan,nan
nan,nan
nan,nan
14.329,0.078000002
nan,nan
15.152,0.147
nan,nan
nan,nan
15.476,0.191
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.852,0.059
nan,nan
nan,nan
15.549,0.19400001
nan,nan
nan,nan
nan,nan
nan,nan
15.346,0.148
15.394,0.162
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.274,0.071000002
nan,nan
nan,nan
13.904,0.050000001
14.969,0.126
nan,nan
nan,nan
nan,nan
nan,nan
14.554,0.085000001
9.9700003,0.018999999
nan,nan
nan,nan
14.873,0.122
13.363,0.041999999
nan,nan
11.82,0.027000001
nan,nan
13.177,0.037999999
nan,nan
nan,nan
nan,nan
14.879,0.14
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.89,0.097000003
nan,nan
14.634,0.103
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.109,0.156
15.285,0.178
nan,nan
15.482,0.193
nan,nan
nan,nan
15.397,0.176
nan,nan
nan,nan
15.174,0.142
nan,nan
14.631,0.1
14.987,0.13699999
14.083,0.068999998
14.323,0.078000002
13.703,0.044
nan,nan
nan,nan
15.269,0.168
nan,nan
9.085,0.02
14.394,0.090000004
nan,nan
nan,nan
15.159,0.145
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.164,0.127
14.998,0.116
nan,nan
nan,nan
13.845,0.054000001
13.9,0.064000003
nan,nan
nan,nan
12.23,0.022
14.717,0.094999999
14.436,0.074000001
12.845,0.028000001
14.949,0.12800001
10.52,0.018999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.298,0.175
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.754,0.11
14.322,0.074000001
nan,nan
13.061,0.035
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.694,0.101
nan,nan
12.912,0.028999999
nan,nan
15.254,0.16
13.292,0.041000001
15.152,0.15899999
13.487,0.048999999
nan,nan
nan,nan
15.54,0.20900001
nan,nan
nan,nan
15.582,0.21799999
nan,nan
15.36,0.189
nan,nan
nan,nan
nan,nan
nan,nan
15.002,0.126
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.002,0.059999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.22,0.035
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.932,0.113
15.445,0.19599999
nan,nan
nan,nan
12.781,0.033
nan,nan
15.353,0.163
nan,nan
nan,nan
nan,nan
nan,nan
14.551,0.1
nan,nan
14.271,0.067000002
nan,nan
13.617,0.041999999
15.528,0.19499999
14.78,0.111
nan,nan
15.184,0.153
nan,nan
nan,nan
nan,nan
nan,nan
11.243,0.024
15.084,0.182
nan,nan
nan,nan
nan,nan
12.995,0.039000001
15.135,0.126
nan,nan
14.862,0.109
nan,nan
nan,nan
nan,nan
15.121,0.117
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.248,0.15800001
nan,nan
nan,nan
14.912,0.132
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.763,0.030999999
nan,nan
nan,nan
nan,nan
14.628,0.093999997
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
11.694,0.023
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.521,0.037999999
nan,nan
12.358,0.026000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.9,0.28299999
nan,nan
nan,nan
nan,nan
nan,nan
13.173,0.043000001
nan,nan
nan,nan
nan,nan
nan,nan
14.165,0.071000002
nan,nan
nan,nan
14.83,0.131
nan,nan
13.058,0.033
14.792,0.093000002
14.811,0.097999997
15.378,0.162
nan,nan
15.504,0.171
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.598,0.082999997
15.114,0.12
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.965,0.048
nan,nan
nan,nan
nan,nan
nan,nan
14.087,0.057
nan,nan
nan,nan
nan,nan
nan,nan
14.104,0.064999998
nan,nan
nan,nan
nan,nan
nan,nan
15.453,0.171
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.997,0.035999998
12.661,0.028999999
nan,nan
nan,nan
nan,nan
12.55,0.024
nan,nan
nan,nan
14.664,0.108
nan,nan
nan,nan
15.658,0.23199999
nan,nan
15.142,0.15000001
nan,nan
15.403,0.18000001
nan,nan
15.305,0.175
nan,nan
15.398,0.184
nan,nan
12.247,0.024
nan,nan
12.344,0.028000001
nan,nan
15.144,0.13500001
nan,nan
15.077,0.127
14.065,0.052999999
nan,nan
14.251,0.057999998
15.116,0.133
nan,nan
nan,nan
nan,nan
nan,nan
15.365,0.162
nan,nan
14.144,0.061999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.553,0.028999999
15.597,0.22400001
14.632,0.093000002
nan,nan
15.514,0.212
nan,nan
